Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
NIBL,4,1,3,44710,44.71,"8.0, 22.649999618530273, 7.75, 9.050000190734863","29.0, 16.950000762939453, 4.800000190734863, 5.300000190734863"
NIITLTD,3,1,2,54386,54.39,"111.25, 26.5, 79.44999694824219","51.45000076293945, 18.700000762939453, 287.1000061035156"
NIITMTS,0,0,0,0,0.0,,
NILAINFRA,1,0,1,-11551,-11.55,8.050000190734863,5.050000190734863
NILASPACES,0,0,0,0,0.0,,
NILKAMAL,2,1,1,49450,49.45,"120.8499984741211, 1429.6500244140625","365.79998779296875, 933.9500122070312"
NINSYS,0,0,0,0,0.0,,
NIPPOBATRY,1,0,1,-9372,-9.37,184.0,123.2249984741211
NIRAJ,0,0,0,0,0.0,,
NITCO,5,2,3,113610,113.61,"33.75, 22.649999618530273, 62.849998474121094, 42.400001525878906, 18.450000762939453","19.049999237060547, 75.8499984741211, 43.20000076293945, 22.600000381469727, 65.69999694824219"
NITINSPIN,4,2,2,133655,133.66,"4.800000190734863, 70.75, 55.45000076293945, 40.95000076293945","17.149999618530273, 49.099998474121094, 28.049999237060547, 146.25"
NITIRAJ,2,0,2,-16578,-16.58,"68.76000213623047, 58.0","48.79999923706055, 40.849998474121094"
NKIND,1,1,0,82798,82.8,20.549999237060547,78.8499984741211
NLCINDIA,4,1,3,57209,57.21,"112.44999694824219, 89.8499984741211, 61.150001525878906, 46.150001525878906","82.80000305175781, 65.80000305175781, 43.900001525878906, 170.35000610351562"
NMDC,2,0,2,-19783,-19.78,"91.46845245361328, 97.42543029785156","62.06787872314453, 63.912620544433594"
NOCIL,5,1,4,24411,24.41,"28.950000762939453, 23.799999237060547, 16.0, 169.8000030517578, 112.19999694824219","21.700000762939453, 14.0, 51.79999923706055, 117.5, 65.80000305175781"
NOIDATOLL,2,0,2,-22774,-22.77,"29.75, 12.050000190734863","18.75, 6.900000095367432"
NORBTEAEXP,3,1,2,100036,100.04,"4.849999904632568, 4.599999904632568, 3.3499999046325684","3.5999999046325684, 3.299999952316284, 15.5"
NRAIL,2,0,2,-21473,-21.47,"282.6000061035156, 243.39999389648438","208.64999389648438, 148.39999389648438"
NRBBEARING,3,1,2,48875,48.88,"41.20000076293945, 124.44999694824219, 77.55000305175781","30.5, 82.94999694824219, 250.39999389648438"
NRL,0,0,0,0,0.0,,
NSIL,1,1,0,74094,74.09,520.0999755859375,1762.300048828125
NSLNISP,0,0,0,0,0.0,,
NTPC,1,1,0,60184,60.18,103.54166412353516,311.1499938964844
NUCLEUS,2,1,1,45700,45.7,"189.02999877929688, 61.0","103.55000305175781, 183.14999389648438"
