ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2022-02-01,3389.550048828125,2023-07-01,3886.0,4131.19921875,121.88046080565434,OFSS,22,100
,2015-10-01,59.79999923706055,2020-05-01,23.049999237060547,-18912.75,-30777.460968570558,OMAXAUTO,22,100
,2015-12-01,84.19999694824219,2020-11-01,42.849998474121094,-14987.600814819336,-17674.05692859661,OMAXAUTO,30,100
,2016-02-01,55.79999923706055,2022-04-01,53.70000076293945,-993.4491806030273,-1806.2712374600499,OMAXAUTO,50,100
,2018-01-01,191.39999389648438,2022-07-01,52.349998474121094,-21956.998809814453,-11412.161905591236,OMAXAUTO,50,150
,2018-04-01,180.5500030517578,2018-09-01,177.1999969482422,-207.5,-114.92661118400342,ONGC,22,150
,2013-10-01,45.54999923706055,2020-03-01,43.25,-1974.0,-4200.0,ONWARDTEC,22,100
,2013-11-01,55.29999923706055,2020-08-01,60.400001525878906,4363.099586486816,8079.814049049661,ONWARDTEC,30,100
,2017-03-01,35.5,2021-02-01,23.600000381469727,-10308.999032974243,-28796.08729796356,ORIENTHOT,22,100
,2017-04-01,40.95000076293945,2021-10-01,36.849998474121094,-2598.5994415283203,-6345.78606377,ORIENTHOT,30,100
,2015-12-01,37.150001525878906,2017-05-01,25.850000381469727,-9280.5,-24748.0,OSWALGREEN,22,100
,2016-05-01,26.450000762939453,2017-02-01,25.799999237060547,-567.0,-2127.5797677901414,OSWALGREEN,30,100
,2017-11-01,236.50787353515625,2023-07-01,131.5,-13406.70492553711,-5614.1412912523865,PANACEABIO,22,100
,2018-06-01,192.8265838623047,2020-03-01,92.84400177001953,-15523.645210266113,-8011.732649139293,PANACEABIO,22,150
,2020-09-01,181.5,2023-11-01,156.60000610351562,-3077.248992919922,-1755.919539469285,PANACEABIO,22,150
,2017-12-01,206.50885009765625,2024-02-01,152.60000610351562,-7905.936050415039,-3814.2495495951125,PANACEABIO,30,100
,2021-07-01,1347.11083984375,2023-07-01,1011.75,-7497.920654296875,-549.7756653042877,PEL,22,100
,2016-07-01,87.22000122070312,2021-03-01,91.0,1426.8812561035156,1630.3488469301233,PFC,50,100
,2015-12-01,55.849998474121094,2020-03-01,25.600000381469727,-15519.299795150757,-27322.711273955105,PFOCUS,22,100
,2016-03-01,51.5,2020-08-01,37.25,-7886.099555969238,-15508.554164426736,PFOCUS,30,100
