Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
MOTHERSON,0,0,0,0,0.0,,
MOTILALOFS,3,1,2,41158,41.16,"205.0500030517578, 943.0999755859375, 1788.4000244140625","673.7999877929688, 726.0, 554.9249877929688"
MPHASIS,1,0,1,-10164,-10.16,675.5999755859375,431.5
MPSLTD,0,0,0,0,0.0,,
MRF,0,0,0,0,0.0,,
MRPL,0,0,0,0,0.0,,
MSPL,2,0,2,-26203,-26.2,"18.549999237060547, 16.049999237060547","12.850000381469727, 8.550000190734863"
MSTCLTD,0,0,0,0,0.0,,
MTARTECH,0,0,0,0,0.0,,
MTNL,0,0,0,0,0.0,,
MUKANDLTD,0,0,0,0,0.0,,
MUNJALAU,2,2,0,7136,7.14,"12.375, 53.875","14.824999809265137, 56.0"
MUNJALSHOW,2,1,1,9419,9.42,"63.099998474121094, 142.25","57.25, 191.0"
MURUDCERA,0,0,0,0,0.0,,
MUTHOOTCAP,0,0,0,0,0.0,,
MUTHOOTFIN,0,0,0,0,0.0,,
NACLIND,0,0,0,0,0.0,,
NAGAFERT,0,0,0,0,0.0,,
NAHARCAP,1,0,1,-3048,-3.05,312.0,286.3999938964844
NAHARINDUS,0,0,0,0,0.0,,
NAHARPOLY,2,1,1,20392,20.39,"49.45000076293945, 95.9000015258789","23.700000762939453, 213.4499969482422"
NAHARSPING,2,0,2,-20729,-20.73,"105.5999984741211, 394.45001220703125","86.0999984741211, 216.64999389648438"
NAM-INDIA,0,0,0,0,0.0,,
NATCOPHARM,0,0,0,0,0.0,,
NATHBIOGEN,1,1,0,2209,2.21,319.8999938964844,343.95001220703125
NATIONALUM,0,0,0,0,0.0,,
NAUKRI,0,0,0,0,0.0,,
NAVA,1,0,1,-1577,-1.58,125.25,119.4000015258789
NAVINFLUOR,0,0,0,0,0.0,,
NAVKARCORP,0,0,0,0,0.0,,
NAVNETEDUL,1,1,0,14014,14.01,75.5,111.0
NAZARA,0,0,0,0,0.0,,
NBCC,0,0,0,0,0.0,,
NBIFIN,0,0,0,0,0.0,,
NCC,1,1,0,2631,2.63,67.1500015258789,73.0
NCLIND,1,1,0,28894,28.89,79.9000015258789,163.89999389648438
NDGL,0,0,0,0,0.0,,
NDL,1,0,1,-16243,-16.24,39.883331298828125,18.149999618530273
NDRAUTO,0,0,0,0,0.0,,
NDTV,0,0,0,0,0.0,,
NECCLTD,0,0,0,0,0.0,,
NECLIFE,1,0,1,-14136,-14.14,40.29999923706055,21.0
NELCAST,1,1,0,17604,17.6,43.75,68.3499984741211
NELCO,1,0,1,-110,-0.11,81.4000015258789,78.75
NEOGEN,0,0,0,0,0.0,,
NESCO,0,0,0,0,0.0,,
NEULANDLAB,2,1,1,76462,76.46,"224.7710723876953, 1289.25","837.4000244140625, 1062.75"
NEWGEN,1,0,1,-11981,-11.98,284.875,171.875
